

*******************************************************************************
Ephemeris / WWW_USER Thu Feb 10 02:41:50 2022 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Voyager 2 (spacecraft) (-32)    {source: Voyager_2}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1977-Aug-21 00:00:00.0000 TDB
Stop  time      : A.D. 1997-Aug-22 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2443435.500000000, A.D. 1977-Oct-19 00:00:00.0000,  1.499724133949172E+08,  1.059609737474629E+08,  1.433900665458805E+07, -7.453009436670288E+00,  3.371018729113038E+01,  2.073916555220693E+00,
2443436.500000000, A.D. 1977-Oct-20 00:00:00.0000,  1.493167179889071E+08,  1.088650668902387E+08,  1.451705867597067E+07, -7.724059826346451E+00,  3.351393941535956E+01,  2.047687951865621E+00,
2443437.500000000, A.D. 1977-Oct-21 00:00:00.0000,  1.486378786695922E+08,  1.117521414719821E+08,  1.469285242658938E+07, -7.988762673682126E+00,  3.331626746032901E+01,  2.021643142316583E+00,
2443438.500000000, A.D. 1977-Oct-22 00:00:00.0000,  1.479364400556215E+08,  1.146220816933464E+08,  1.486640413244692E+07, -8.247206711996043E+00,  3.311733783315775E+01,  1.995790029059767E+00,
2443439.500000000, A.D. 1977-Oct-23 00:00:00.0000,  1.472129389596775E+08,  1.174747858203578E+08,  1.503773067373761E+07, -8.499483830548115E+00,  3.291730973405937E+01,  1.970135857559137E+00,
2443440.500000000, A.D. 1977-Oct-24 00:00:00.0000,  1.464679041338801E+08,  1.203101655671514E+08,  1.520684952927890E+07, -8.745688660102582E+00,  3.271633528423218E+01,  1.944687243980002E+00,
2443441.500000000, A.D. 1977-Oct-25 00:00:00.0000,  1.457018560499505E+08,  1.231281454903878E+08,  1.537377872333494E+07, -8.985918182874864E+00,  3.251455966780473E+01,  1.919450202846500E+00,
2443442.500000000, A.D. 1977-Oct-26 00:00:00.0000,  1.449153067120203E+08,  1.259286623964550E+08,  1.553853677482462E+07, -9.220271366547465E+00,  3.231212128579008E+01,  1.894430174519558E+00,
2443443.500000000, A.D. 1977-Oct-27 00:00:00.0000,  1.441087595000629E+08,  1.287116647624315E+08,  1.570114264888867E+07, -9.448848821590506E+00,  3.210915192008498E+01,  1.869632052349971E+00,
2443444.500000000, A.D. 1977-Oct-28 00:00:00.0000,  1.432827090419393E+08,  1.314771121715916E+08,  1.586161571078609E+07, -9.671752481197101E+00,  3.190577690608162E+01,  1.845060209385530E+00,
2443445.500000000, A.D. 1977-Oct-29 00:00:00.0000,  1.424376411121561E+08,  1.342249747641364E+08,  1.601997568206519E+07, -9.889085303179110E+00,  3.170211531213089E+01,  1.820718524563350E+00,
2443446.500000000, A.D. 1977-Oct-30 00:00:00.0000,  1.415740325554221E+08,  1.369552327036735E+08,  1.617624259902221E+07, -1.010095099330143E+01,  3.149828012409155E+01,  1.796610408335352E+00,
2443447.500000000, A.D. 1977-Oct-31 00:00:00.0000,  1.406923512332644E+08,  1.396678756597902E+08,  1.633043677325293E+07, -1.030745374911780E+01,  3.129437843382676E+01,  1.772738827700694E+00,
2443448.500000000, A.D. 1977-Nov-01 00:00:00.0000,  1.397930559918774E+08,  1.423629023070696E+08,  1.648257875443146E+07, -1.050869802337058E+01,  3.109051163041170E+01,  1.749106330500533E+00,
2443449.500000000, A.D. 1977-Nov-02 00:00:00.0000,  1.388765966496228E+08,  1.450403198406895E+08,  1.663268929510932E+07, -1.070478830613384E+01,  3.088677559298308E+01,  1.725715068999433E+00,
2443450.500000000, A.D. 1977-Nov-03 00:00:00.0000,  1.379434140025691E+08,  1.477001435087203E+08,  1.678078931752900E+07, -1.089582892482444E+01,  3.068326088419881E+01,  1.702566822700714E+00,
2443451.500000000, A.D. 1977-Nov-04 00:00:00.0000,  1.369939398465696E+08,  1.503423961611310E+08,  1.692689988237479E+07, -1.108192386121584E+01,  3.048005294340589E+01,  1.679663020379332E+00,
2443452.500000000, A.D. 1977-Nov-05 00:00:00.0000,  1.360285970144470E+08,  1.529671078154438E+08,  1.707104215939302E+07, -1.126317658457774E+01,  3.027723227872222E+01,  1.657004761317104E+00,
2443453.500000000, A.D. 1977-Nov-06 00:00:00.0000,  1.350477994269305E+08,  1.555743152389119E+08,  1.721323739981223E+07, -1.143968990006338E+01,  3.007487465734064E+01,  1.634592835729674E+00,
2443454.500000000, A.D. 1977-Nov-07 00:00:00.0000,  1.340519521560640E+08,  1.581640615470411E+08,  1.735350691049285E+07, -1.161156581147408E+01,  2.987305129345688E+01,  1.612427744379296E+00,
2443455.500000000, A.D. 1977-Nov-08 00:00:00.0000,  1.330414514998816E+08,  1.607363958182271E+08,  1.749187202973653E+07, -1.177890539754737E+01,  2.967182903330387E+01,  1.590509717372361E+00,
2443456.500000000, A.D. 1977-Nov-09 00:00:00.0000,  1.320166850672179E+08,  1.632913727242379E+08,  1.762835410468404E+07, -1.194180870093921E+01,  2.947127053684687E+01,  1.568838732145329E+00,
2443457.500000000, A.D. 1977-Nov-10 00:00:00.0000,  1.309780318715905E+08,  1.658290521762373E+08,  1.776297447023290E+07, -1.210037462909985E+01,  2.927143445575745E+01,  1.547414530647318E+00,
2443458.500000000, A.D. 1977-Nov-11 00:00:00.0000,  1.299258624331600E+08,  1.683494989860114E+08,  1.789575442940477E+07, -1.225470086627358E+01,  2.907237560734168E+01,  1.526236635731753E+00,
2443459.500000000, A.D. 1977-Nov-12 00:00:00.0000,  1.288605388878412E+08,  1.708527825420396E+08,  1.802671523509584E+07, -1.240488379588397E+01,  2.887414514415252E+01,  1.505304366772519E+00,
2443460.500000000, A.D. 1977-Nov-13 00:00:00.0000,  1.277824151026952E+08,  1.733389765000235E+08,  1.815587807314371E+07, -1.255101843259622E+01,  2.867679071906683E+01,  1.484616854522567E+00,
2443461.500000000, A.D. 1977-Nov-14 00:00:00.0000,  1.266918367967993E+08,  1.758081584874784E+08,  1.828326404664524E+07, -1.269319836337601E+01,  2.848035664565647E+01,  1.464173055234308E+00,
2443462.500000000, A.D. 1977-Nov-15 00:00:00.0000,  1.255891416668438E+08,  1.782604098219710E+08,  1.840889416146430E+07, -1.283151569689180E+01,  2.828488405372871E+01,  1.443971764061859E+00,
2443463.500000000, A.D. 1977-Nov-16 00:00:00.0000,  1.244746595167625E+08,  1.806958152425849E+08,  1.853278931286640E+07, -1.296606102063450E+01,  2.809041103995243E+01,  1.424011627765692E+00,
2443464.500000000, A.D. 1977-Nov-17 00:00:00.0000,  1.233487123907564E+08,  1.831144626541867E+08,  1.865497027322193E+07, -1.309692336515743E+01,  2.789697281352285E+01,  1.404291156740641E+00,
2443465.500000000, A.D. 1977-Nov-18 00:00:00.0000,  1.222116147091202E+08,  1.855164428840606E+08,  1.877545768072020E+07, -1.322419017487203E+01,  2.770460183684554E+01,  1.384808736389148E+00,
2443466.500000000, A.D. 1977-Nov-19 00:00:00.0000,  1.210636734063278E+08,  1.879018494504851E+08,  1.889427202903843E+07, -1.334794728487108E+01,  2.751332796124137E+01,  1.365562637863023E+00,
